b,x1,x2,x3,x4,C
-0.00049175,-0.061437,-0.017828,0.0072113,0.99,0.0
-0.03307675,-0.016822999999999998,-0.055852,0.00872,0.98,2.0
-0.05454075,-0.07761799999999999,-0.050074,0.031022,0.97,2.0
-0.05887975,-0.133013,-0.070404,0.035065200000000005,0.96,1.0
-0.08063175,-0.12492199999999999,-0.12142599999999999,0.0418627,0.95,5.0
-0.08392375,-0.08037,-0.167144,0.051750700000000004,0.94,8.0
-0.10124075,-0.0768935,-0.20904899999999998,0.061664500000000004,0.9299999999999999,1.0
-0.14337475,-0.0488335,-0.22916499999999998,0.0549233,0.9199999999999999,2.0
-0.18347675,-0.15540150000000003,-0.18777699999999997,0.1055693,0.9099999999999999,1.0
-0.23377775,-0.08036950000000002,-0.18911659999999997,0.0305353,0.9199999999999999,3.0
-0.28011575,-0.20787850000000002,-0.02195059999999996,-0.0016327000000000008,0.9299999999999999,4.0
-0.26504075,-0.2271025,-0.09341659999999996,-0.010546300000000002,0.9199999999999999,7.0
-0.28926675,-0.18135050000000003,-0.15288659999999996,-0.012697000000000002,0.9099999999999999,8.0
-0.29306475000000004,-0.18844850000000002,-0.16045859999999995,-0.008253000000000002,0.8999999999999999,10.0
-0.29635715,-0.14389650000000004,-0.20617659999999993,0.0016349999999999993,0.8899999999999999,13.0
-0.26987815000000004,-0.24527050000000003,-0.19286659999999994,0.056341999999999996,0.8799999999999999,20.0
-0.31552315000000003,-0.20899550000000003,-0.22155059999999993,0.053570599999999996,0.8699999999999999,3.0
-0.33346215,-0.19782150000000004,-0.23700459999999993,0.0561785,0.8599999999999999,27.0
-0.33916815,-0.19757309000000003,-0.24942559999999991,0.0617993,0.8499999999999999,64.0
-0.34846515,-0.15960209000000003,-0.2958545999999999,0.0647563,0.8399999999999999,28.0
-0.38352515,-0.28526909,-0.1442485999999999,0.0572347,0.8499999999999999,14.0
-0.37385435,-0.24684309,-0.1935625999999999,0.0159117,0.8599999999999999,5.0
-0.37904935,-0.21421009,-0.2244575999999999,0.0257607,0.8499999999999999,48.0
-0.38475535,-0.21396209,-0.23687859999999988,0.0313817,0.8399999999999999,35.0
-0.38855335,-0.22106009,-0.24445059999999988,0.0358257,0.8299999999999998,21.0
-0.39374835,-0.18842709,-0.27534559999999986,0.0456747,0.8199999999999998,27.0
-0.39945435,-0.18817909,-0.2877665999999999,0.0512957,0.8099999999999998,16.0
-0.40325275,-0.19527659,-0.2953381999999999,0.0557398,0.7999999999999998,70.0
-0.40895875,-0.19502859,-0.3077591999999999,0.0613608,0.7899999999999998,83.0
-0.44716174999999997,-0.32557959000000003,-0.1381761999999999,0.0383088,0.7999999999999998,15.0
-0.47452675,-0.27525459,-0.2047841999999999,0.0440977,0.7899999999999998,12.0
-0.46195474999999997,-0.22652359000000002,-0.2576451999999999,-0.014643300000000005,0.7999999999999998,23.0
-0.46714975,-0.19389059000000003,-0.2885401999999999,-0.004794300000000005,0.7899999999999998,20.0
-0.44856575,-0.27275059,-0.2718971999999999,0.013589699999999996,0.7799999999999998,24.0
-0.44695494999999996,-0.20812659,-0.3554701999999999,0.028805699999999997,0.7699999999999998,51.0
-0.48391595,-0.34490559,-0.1796751999999999,0.0026246999999999937,0.7799999999999998,69.0
-0.47163695,-0.30459659,-0.2261101999999999,-0.036500300000000006,0.7899999999999998,1.0
